muestra,t,M 5A,DUT 30A,
3,1055,0.945,91.981,
4,1581,1.688,126.491,
5,2107,3.432,127.537,
6,2631,2.957,124.529,
7,3157,0.422,126.288,
8,3684,2.734,128.252,
9,4208,3.825,128.914,
10,4734,4.002,131.751,
11,5261,2.701,133.682,
12,5786,6.379,124.864,
13,6310,0.597,132.429,
14,6836,0.731,196.908,
15,7362,0.845,159.456,
16,7886,2.987,87.727,
17,8412,0.000,88.416,
18,8937,0.000,85.314,
19,9461,0.845,86.880,
muestra,t,M 5A,DUT 30A,
2,530,3.401,85.505,
3,1055,4.608,92.190,
4,1580,0.845,128.390,
5,2105,3.479,131.068,
6,2631,1.401,130.966,
7,3155,0.000,131.211,
8,3680,0.845,130.327,
9,4207,0.943,131.435,
10,4731,3.017,132.938,
11,5257,3.504,128.651,
12,5783,1.266,130.824,
13,6309,3.133,138.939,
14,6833,1.523,203.555,
15,7359,0.422,142.701,
16,7884,0.000,90.785,
17,8410,0.597,88.994,
18,8936,4.025,86.917,
19,9461,0.422,83.756,
muestra,t,M 5A,DUT 30A,
2,530,1.792,85.125,
3,1057,0.422,94.052,
4,1583,3.958,130.235,
5,2108,3.940,129.387,
6,2633,1.035,134.595,
7,3158,2.668,129.939,
8,3685,0.597,129.321,
9,4210,1.035,131.309,
10,4734,0.845,129.759,
11,5261,0.943,126.187,
12,5785,0.000,130.721,
13,6309,0.000,134.928,
14,6835,3.912,197.720,
15,7361,3.778,155.003,
16,7885,0.422,88.927,
17,8411,1.193,87.651,
18,8937,3.401,88.633,
19,9461,0.422,84.898,
muestra,t,M 5A,DUT 30A,
2,530,3.530,85.430,
3,1056,1.581,86.138,
4,1580,3.299,119.448,
5,2104,0.945,126.144,
6,2633,0.945,128.340,
7,3158,2.983,126.465,
8,3683,0.422,127.587,
9,4208,0.422,128.864,
10,4732,3.133,132.672,
11,5258,0.422,132.091,
12,5785,0.844,131.824,
13,6309,1.267,133.973,
14,6834,4.890,201.653,
15,7360,0.943,157.534,
16,7886,0.597,87.834,
17,8410,3.326,88.165,
18,8936,0.597,88.597,
19,9461,3.609,88.601,
20,9985,0.845,86.584,
muestra,t,M 5A,DUT 30A,
2,528,3.432,84.405,
3,1055,0.596,90.519,
4,1581,0.945,131.309,
5,2105,1.035,127.864,
6,2629,3.731,127.486,
7,3157,1.581,131.064,
8,3682,3.432,131.015,
9,4206,1.742,129.163,
10,4733,0.422,130.824,
11,5257,0.945,129.660,
12,5783,0.422,132.406,
13,6309,2.983,148.941,
14,6835,0.422,198.539,
15,7359,0.422,132.623,
16,7885,1.033,87.028,
17,8410,2.672,83.679,
18,8935,4.030,86.138,
19,9460,3.479,84.866,
muestra,t,M 5A,DUT 30A,
2,530,0.000,122.841,
3,1056,0.597,119.537,
4,1583,2.983,130.210,
5,2107,3.406,127.411,
6,2633,1.116,120.285,
7,3159,4.069,87.907,
8,3684,1.035,89.359,
9,4211,5.104,95.071,
10,4737,1.266,109.288,
11,5262,3.895,121.421,
12,5788,0.422,120.551,
13,6314,2.272,109.141,
14,6839,1.401,90.715,
15,7365,0.422,116.441,
16,7891,0.422,127.047,
17,8416,1.336,126.855,
18,8942,0.597,123.388,
19,9468,0.000,123.673,
20,9993,0.422,116.148,
21,10518,0.945,114.280,
22,11043,3.379,119.124,
23,11569,0.000,130.431,
24,12095,3.401,124.319,
25,12621,3.401,133.514,
26,13148,1.521,103.877,
27,13672,0.945,93.470,
28,14198,0.422,137.323,
29,14727,1.266,119.885,
30,15252,0.422,126.829,
31,15777,0.945,131.089,
32,16303,3.100,126.364,
33,16829,1.399,126.769,
34,17359,0.422,130.824,
35,17885,2.957,190.194,
36,18409,0.845,203.477,
37,18934,2.427,201.557,
38,19461,3.427,150.715,
39,19985,1.035,89.610,
40,20511,3.605,87.615,
41,21037,0.597,87.285,
42,21563,0.943,85.092,
43,22088,0.945,87.763,
muestra,t,M 5A,DUT 30A,
2,531,0.597,85.280,
3,1055,1.936,89.467,
4,1581,3.479,116.386,
5,2106,1.035,128.165,
6,2629,4.890,131.578,
7,3153,0.422,128.165,
8,3680,3.071,127.776,
9,4204,0.597,128.415,
10,4730,3.479,129.024,
11,5256,0.844,131.994,
12,5782,3.707,128.215,
13,6306,3.379,129.288,
14,6832,2.668,130.530,
15,7357,0.597,128.490,
16,7883,3.820,132.599,
17,8409,1.399,130.701,
18,8934,0.732,181.518,
19,9459,5.122,197.273,
20,9984,1.035,198.426,
21,10509,3.634,155.313,
22,11034,1.267,91.876,
23,11558,0.845,87.873,
24,12084,0.597,89.425,
25,12609,0.422,87.176,
26,13134,2.987,85.914,
muestra,t,M 5A,DUT 30A,
2,531,3.580,84.677,
3,1055,0.422,91.911,
4,1580,1.118,125.506,
5,2105,0.945,128.790,
6,2630,3.406,131.968,
7,3154,0.945,129.932,
8,3680,0.000,122.580,
9,4205,0.000,125.198,
10,4730,1.841,125.454,
11,5255,0.844,126.541,
12,5782,0.731,126.237,
13,6307,0.422,129.536,
14,6832,0.731,128.351,
15,7359,0.000,128.526,
16,7883,0.845,124.245,
17,8409,0.844,129.173,
18,8935,3.825,164.473,
19,9459,3.379,207.989,
20,9985,0.000,192.031,
21,10512,2.272,177.807,
22,11040,1.266,92.731,
23,11566,3.453,90.280,
24,12091,3.272,85.689,
25,12616,0.732,86.026,
26,13140,0.945,82.908,
muestra,t,M 5A,DUT 30A,
2,529,3.379,83.487,
3,1055,3.890,89.460,
4,1581,0.000,127.399,
5,2106,0.945,129.561,
6,2630,3.406,126.677,
7,3155,1.581,130.475,
8,3682,1.334,131.483,
9,4206,0.422,128.115,
10,4732,2.668,127.475,
11,5258,3.479,130.530,
12,5783,0.732,132.016,
13,6309,0.422,132.793,
14,6835,3.820,133.418,
15,7360,3.483,128.640,
16,7886,3.479,131.751,
17,8414,0.597,132.164,
18,8940,4.589,179.722,
19,9464,0.845,202.575,
20,9990,5.485,189.918,
21,10517,3.530,147.232,
22,11041,1.889,91.315,
23,11567,0.000,88.271,
24,12092,0.945,84.785,
25,12618,1.399,87.578,
26,13144,1.399,84.336,
muestra,t,M 5A,DUT 30A,
2,531,0.422,85.505,
3,1055,3.217,89.968,
4,1580,1.581,120.412,
5,2106,3.322,125.703,
6,2631,0.422,127.889,
7,3156,0.422,129.544,
8,3683,3.375,129.841,
9,4207,1.035,126.220,
10,4732,3.895,128.365,
11,5257,0.597,126.009,
12,5786,0.844,128.277,
13,6311,3.326,126.601,
14,6836,0.000,131.093,
15,7362,1.463,127.184,
16,7886,0.000,127.486,
17,8412,1.266,130.333,
18,8937,3.534,178.826,
19,9463,0.731,202.586,
20,9989,0.422,203.926,
21,10514,1.035,168.105,
22,11040,0.422,91.409,
23,11565,1.267,86.806,
24,12091,0.943,85.054,
25,12616,2.738,88.056,
26,13141,3.629,86.511,
muestra,t,M 5A,DUT 30A,
2,530,1.979,84.450,
3,1056,1.266,87.432,
4,1582,2.983,121.002,
5,2107,0.000,126.956,
6,2635,1.521,128.127,
7,3160,0.597,129.014,
8,3685,3.825,133.083,
9,4210,0.422,128.775,
10,4736,1.267,129.412,
11,5261,0.422,130.843,
12,5785,3.483,129.412,
13,6312,0.844,130.652,
14,6837,1.118,127.989,
15,7361,1.742,131.015,
16,7888,3.629,128.127,
17,8413,3.559,128.914,
18,8937,5.884,189.076,
19,9463,1.634,188.478,
20,9989,2.275,205.237,
21,10513,3.634,138.870,
22,11039,0.844,90.882,
23,11565,3.075,87.139,
24,12090,0.000,86.288,
25,12616,1.399,84.298,
26,13141,0.732,87.470,
muestra,t,M 5A,DUT 30A,
2,531,4.773,84.563,
3,1055,1.267,86.843,
4,1580,1.035,117.249,
5,2105,5.098,128.027,
6,2632,0.000,125.269,
7,3156,3.133,124.323,
8,3682,0.422,125.703,
9,4208,3.509,123.259,
10,4732,1.742,126.753,
11,5258,2.311,127.500,
12,5783,0.000,126.474,
13,6309,0.844,126.769,
14,6835,0.597,123.596,
15,7360,1.267,124.581,
16,7886,3.530,123.258,
17,8411,0.422,130.524,
18,8937,1.790,125.192,
19,9462,3.017,194.055,
20,9987,4.203,198.409,
21,10514,2.424,198.367,
22,11041,4.287,126.347,
23,11565,3.379,89.143,
24,12093,0.000,89.311,
25,12618,0.000,86.547,
26,13143,3.157,87.651,
27,13669,1.033,86.622,
muestra,t,M 5A,DUT 30A,
2,531,4.773,86.585,
3,1055,1.936,87.910,
4,1581,3.890,114.499,
5,2107,1.841,124.890,
6,2631,3.658,124.168,
7,3156,0.422,123.986,
8,3682,3.100,126.465,
9,4208,0.844,123.336,
10,4733,1.463,123.415,
11,5260,0.943,126.971,
12,5784,1.742,128.315,
13,6309,3.406,126.118,
14,6834,1.399,129.964,
15,7360,1.690,127.184,
16,7888,0.597,126.794,
17,8414,2.531,128.899,
18,8939,0.732,126.829,
19,9464,1.118,193.625,
20,9990,0.844,192.714,
21,10516,2.499,196.506,
22,11040,2.604,139.930,
23,11566,0.000,92.800,
24,12091,0.945,87.176,
25,12617,3.129,86.659,
26,13142,1.336,84.253,
27,13667,2.535,86.732,
muestra,t,M 5A,DUT 30A,
2,531,0.421,84.607,
3,1057,1.118,88.565,
4,1581,4.074,121.421,
5,2107,1.739,129.098,
6,2632,3.895,124.838,
7,3158,0.422,124.731,
8,3684,0.844,127.475,
9,4212,0.000,128.165,
10,4736,1.267,124.194,
11,5261,2.987,128.140,
12,5786,0.000,127.007,
13,6311,1.195,127.788,
14,6835,0.597,129.238,
15,7361,0.422,127.801,
16,7886,1.336,128.290,
17,8411,4.007,130.376,
18,8937,0.844,132.237,
19,9462,0.422,205.033,
20,9988,4.810,202.333,
21,10514,0.943,201.539,
22,11040,3.272,128.315,
23,11564,0.945,91.911,
24,12090,1.688,86.733,
25,12615,1.690,84.974,
26,13141,0.422,86.437,
27,13666,3.559,86.361,
muestra,t,M 5A,DUT 30A,
2,530,3.401,85.767,
3,1060,4.479,92.475,
4,1585,0.000,123.909,
5,2109,1.841,129.064,
6,2635,2.151,125.983,
7,3160,4.798,125.018,
8,3686,0.844,125.346,
9,4212,1.033,125.192,
10,4737,4.390,129.858,
11,5263,0.943,131.629,
12,5789,1.033,132.817,
13,6314,0.422,130.745,
14,6840,0.943,129.247,
15,7366,0.422,129.173,
16,7892,1.742,132.768,
17,8416,0.945,132.551,
18,8941,1.523,129.709,
19,9467,1.266,198.738,
20,9993,4.002,201.667,
21,10518,1.336,202.860,
22,11045,0.422,116.826,
23,11569,0.422,94.869,
24,12097,0.597,87.651,
25,12624,1.979,84.715,
26,13148,0.422,88.492,
27,13672,0.845,84.405,
muestra,t,M 5A,DUT 30A,
2,530,3.401,84.828,
3,1055,0.597,90.218,
4,1581,2.566,124.319,
5,2106,2.672,128.640,
6,2631,3.379,130.006,
7,3155,0.845,128.190,
8,3681,1.688,126.110,
9,4208,1.116,128.277,
10,4732,3.379,127.637,
11,5257,0.000,126.855,
12,5782,2.109,130.726,
13,6308,3.379,133.034,
14,6832,0.422,128.215,
15,7358,1.193,130.701,
16,7883,4.007,126.525,
17,8407,3.797,131.994,
18,8932,2.154,129.833,
19,9457,3.432,203.145,
20,9982,3.940,203.839,
21,10506,4.530,202.496,
22,11032,0.422,116.799,
23,11557,1.118,91.455,
24,12083,1.399,87.871,
25,12609,1.887,88.016,
26,13135,0.844,88.922,
27,13660,3.872,86.175,
muestra,t,M 5A,DUT 30A,
2,529,3.406,85.652,
3,1055,3.479,96.024,
4,1580,4.816,120.465,
5,2104,3.584,128.190,
6,2630,0.844,128.676,
7,3155,4.203,128.964,
8,3681,3.479,129.420,
9,4205,1.742,129.138,
10,4732,1.334,130.136,
11,5260,0.000,130.062,
12,5785,2.987,130.868,
13,6312,1.461,130.185,
14,6836,0.597,130.031,
15,7360,0.000,131.943,
16,7886,0.000,129.766,
17,8412,0.845,132.841,
18,8936,2.499,133.276,
19,9462,1.266,189.884,
20,9988,0.945,194.039,
21,10512,0.000,194.337,
22,11038,3.129,130.775,
23,11563,0.845,90.892,
24,12089,3.702,85.991,
25,12614,3.432,85.539,
26,13139,2.026,83.947,
27,13664,2.314,84.633,
muestra,t,M 5A,DUT 30A,
2,531,0.597,85.054,
3,1055,5.087,89.035,
4,1581,3.797,126.845,
5,2109,1.401,126.627,
6,2634,0.422,131.064,
7,3159,0.000,132.551,
8,3685,0.000,130.450,
9,4209,2.112,130.031,
10,4735,1.334,131.994,
11,5260,1.889,129.759,
12,5786,1.116,127.926,
13,6311,2.987,128.590,
14,6836,0.597,129.014,
15,7362,3.427,128.401,
16,7887,0.845,131.943,
17,8413,3.375,130.112,
18,8939,2.349,128.426,
19,9464,3.872,195.178,
20,9991,0.000,198.867,
21,10515,1.841,201.685,
22,11041,1.033,137.673,
23,11567,3.530,95.589,
24,12092,0.000,91.981,
25,12614,0.422,85.689,
26,13141,1.264,86.142,
27,13667,0.000,84.443,
muestra,t,M 5A,DUT 30A,
2,530,2.770,85.314,
3,1054,0.845,91.103,
4,1580,4.002,124.654,
5,2107,0.943,129.346,
6,2631,1.195,125.557,
7,3156,0.945,132.162,
8,3681,0.422,125.983,
9,4208,1.033,128.800,
10,4733,1.118,132.720,
11,5258,2.953,130.628,
12,5785,0.422,129.272,
13,6310,0.945,128.515,
14,6836,1.033,129.914,
15,7361,2.987,131.724,
16,7886,2.672,129.610,
17,8411,1.193,127.701,
18,8938,2.192,136.458,
19,9465,3.802,179.847,
20,9991,4.002,184.666,
21,10517,0.422,189.585,
22,11041,1.035,197.387,
23,11567,3.890,124.602,
24,12092,0.945,92.572,
25,12618,0.844,90.245,
26,13143,3.379,86.917,
27,13669,1.033,88.343,
28,14195,1.399,85.430,
muestra,t,M 5A,DUT 30A,
2,531,0.597,84.828,
3,1056,0.422,91.209,
4,1581,0.422,123.753,
5,2106,2.601,130.112,
6,2633,1.579,126.541,
7,3158,1.336,129.536,
8,3682,0.845,129.783,
9,4209,2.232,128.601,
10,4734,1.792,126.424,
11,5258,3.432,128.914,
12,5787,2.109,131.313,
13,6313,3.071,127.198,
14,6838,1.267,126.347,
15,7364,5.080,128.252,
16,7890,1.739,130.922,
17,8416,3.555,123.932,
18,8943,1.193,127.726,
19,9467,3.017,192.025,
20,9996,0.597,193.641,
21,10523,3.071,204.161,
22,11049,3.268,137.113,
23,11574,3.458,91.525,
24,12100,0.943,88.922,
25,12626,2.861,87.943,
26,13150,0.732,87.983,
27,13676,1.579,86.065,
muestra,t,M 5A,DUT 30A,
2,530,0.422,85.652,
3,1054,3.432,88.347,
4,1580,0.597,111.752,
5,2106,1.195,128.765,
6,2632,2.112,131.333,
7,3158,3.427,127.223,
8,3684,2.987,128.840,
9,4208,0.597,123.155,
10,4733,1.035,128.815,
11,5258,0.597,127.587,
12,5783,0.597,124.864,
13,6307,0.845,126.373,
14,6833,0.422,131.239,
15,7358,4.589,127.209,
16,7884,0.844,129.123,
17,8410,0.597,126.491,
18,8935,3.802,127.133,
19,9460,2.738,165.544,
20,9986,2.668,190.810,
21,10512,0.422,189.449,
22,11036,0.422,185.630,
23,11562,3.401,94.205,
24,12087,3.534,91.139,
25,12613,5.167,88.561,
26,13141,1.334,86.326,
27,13667,0.422,89.610,
muestra,t,M 5A,DUT 30A,
2,529,0.000,87.102,
3,1054,1.035,93.332,
4,1579,3.375,122.894,
5,2105,3.017,128.864,
6,2629,0.597,128.340,
7,3155,3.844,127.550,
8,3680,0.000,127.989,
9,4204,3.104,128.815,
10,4730,0.597,127.399,
11,5255,1.742,128.715,
12,5781,3.401,131.313,
13,6306,2.570,129.684,
14,6832,3.820,127.851,
15,7357,0.000,133.589,
16,7881,0.845,127.738,
17,8407,0.943,129.495,
18,8932,1.195,128.715,
19,9458,1.193,186.324,
20,9987,1.266,193.577,
21,10512,0.422,201.812,
22,11036,1.035,132.938,
23,11562,2.151,90.032,
24,12087,1.195,87.800,
25,12612,2.957,87.983,
26,13137,1.521,85.205,
27,13663,3.825,87.617,
muestra,t,M 5A,DUT 30A,
2,530,0.943,87.395,
3,1057,1.193,92.766,
4,1582,0.422,100.491,
5,2107,1.889,125.454,
6,2632,0.597,128.651,
7,3158,0.422,129.783,
8,3683,0.943,129.048,
9,4209,1.521,126.085,
10,4734,0.422,127.889,
11,5259,3.634,128.765,
12,5784,3.820,130.848,
13,6311,3.820,129.321,
14,6839,1.266,130.161,
15,7365,4.002,131.921,
16,7890,0.422,129.387,
17,8416,1.887,127.324,
18,8942,2.983,132.430,
19,9467,2.570,174.903,
20,9993,1.688,198.609,
21,10518,1.336,194.353,
22,11043,0.422,157.286,
23,11569,0.422,89.353,
24,12094,0.845,89.574,
25,12620,1.033,85.692,
26,13146,3.844,84.145,
27,13670,3.075,86.880,
muestra,t,M 5A,DUT 30A,
2,529,0.845,87.910,
3,1055,1.193,89.925,
4,1580,1.336,95.240,
5,2105,2.272,93.351,
6,2632,1.739,93.625,
7,3156,3.534,95.745,
8,3683,3.985,129.238,
9,4210,2.151,128.576,
10,4734,1.742,131.040,
11,5260,1.688,129.346,
12,5786,3.401,127.926,
13,6311,0.000,129.585,
14,6837,0.943,127.550,
15,7363,1.266,130.038,
16,7889,1.841,129.882,
17,8413,1.690,129.337,
18,8939,3.401,134.137,
19,9464,0.000,129.263,
20,9989,3.406,184.745,
21,10514,3.802,201.095,
22,11039,0.422,203.382,
23,11565,1.193,137.580,
24,12090,4.666,90.715,
25,12617,1.839,91.898,
26,13141,3.133,86.063,
27,13666,0.845,87.910,
28,14195,0.731,86.733,
muestra,t,M 5A,DUT 30A,
2,529,1.267,84.481,
3,1055,0.000,92.869,
4,1581,0.000,123.596,
5,2106,3.046,118.340,
6,2632,1.033,128.027,
7,3158,3.980,131.629,
8,3683,3.046,127.713,
9,4208,1.266,128.651,
10,4735,0.000,130.210,
11,5260,2.705,127.411,
12,5785,3.844,130.922,
13,6311,0.597,132.889,
14,6836,3.778,126.855,
15,7361,3.935,126.845,
16,7887,1.267,130.966,
17,8412,0.422,132.138,
18,8937,3.504,131.508,
19,9463,4.816,171.078,
20,9988,1.581,199.990,
21,10515,2.604,195.194,
22,11040,2.112,169.645,
23,11566,2.496,90.987,
24,12091,0.000,92.642,
25,12617,2.601,90.387,
26,13142,0.945,87.065,
27,13666,1.336,86.250,
muestra,t,M 5A,DUT 30A,
2,530,0.000,91.198,
3,1056,0.732,91.946,
4,1580,2.112,130.548,
5,2104,1.035,131.040,
6,2630,0.945,127.813,
7,3154,0.422,92.676,
8,3680,4.025,89.854,
9,4207,0.844,91.128,
10,4731,0.422,105.238,
11,5257,0.943,100.332,
12,5783,1.266,113.290,
13,6308,0.945,129.089,
14,6834,3.401,122.528,
15,7362,0.422,126.921,
16,7889,3.797,126.009,
17,8414,0.000,129.014,
18,8939,2.531,129.816,
19,9466,0.844,130.799,
20,9991,1.401,129.709,
21,10516,1.033,126.845,
22,11043,2.601,128.401,
23,11568,1.336,131.943,
24,12094,0.000,132.648,
25,12619,0.945,129.263,
26,13144,0.945,149.260,
27,13670,0.000,198.544,
28,14195,0.422,200.919,
29,14720,4.266,194.865,
30,15245,4.627,203.240,
31,15772,1.521,152.617,
32,16296,0.000,91.596,
33,16820,0.000,90.218,
34,17346,2.232,90.882,
35,17874,3.825,86.063,
36,18398,0.000,88.637,
37,18924,0.000,86.622,
muestra,t,M 5A,DUT 30A,
2,532,0.422,87.432,
3,1057,2.151,92.385,
4,1582,2.235,121.553,
5,2108,1.033,128.924,
6,2633,0.845,130.401,
7,3158,0.597,127.864,
8,3683,3.912,126.592,
9,4209,1.035,124.787,
10,4733,0.845,128.365,
11,5259,4.505,129.914,
12,5784,5.443,132.865,
13,6309,0.000,132.089,
14,6833,3.406,130.253,
15,7360,2.983,131.994,
16,7885,2.154,131.333,
17,8409,0.732,125.326,
18,8935,0.844,131.727,
19,9463,2.987,128.415,
20,9988,3.940,128.640,
21,10513,3.629,128.899,
22,11040,0.943,198.738,
23,11565,0.945,203.666,
24,12090,0.000,199.575,
25,12616,3.895,199.330,
26,13141,0.422,170.909,
27,13666,3.401,89.889,
28,14193,0.597,90.458,
29,14717,3.161,89.215,
30,15243,1.334,87.980,
31,15769,2.352,88.637,
32,16294,1.266,87.138,
muestra,t,M 5A,DUT 30A,
2,530,0.945,82.519,
3,1055,0.845,90.182,
4,1580,0.422,126.339,
5,2106,1.581,122.081,
6,2630,0.597,126.931,
7,3154,0.732,127.738,
8,3682,2.570,124.632,
9,4208,0.943,125.167,
10,4733,2.987,124.555,
11,5259,0.597,124.345,
12,5784,4.030,124.761,
13,6308,0.000,126.931,
14,6834,3.629,129.048,
15,7360,3.427,125.525,
16,7885,4.007,125.172,
17,8410,2.311,125.754,
18,8937,0.000,127.926,
19,9461,3.483,129.536,
20,9987,3.530,126.769,
21,10512,1.195,124.090,
22,11037,0.845,196.457,
23,11562,0.422,203.524,
24,12087,3.075,203.508,
25,12612,0.422,205.940,
26,13136,3.731,188.054,
27,13662,1.399,95.589,
28,14190,1.267,94.767,
29,14714,0.422,94.018,
30,15240,0.000,87.322,
31,15765,0.000,86.510,
32,16289,0.945,85.539,
muestra,t,M 5A,DUT 30A,
2,529,0.732,83.063,
3,1056,0.422,91.163,
4,1580,1.401,123.441,
5,2106,3.530,129.692,
6,2633,0.597,125.525,
7,3157,0.597,126.169,
8,3682,3.406,119.421,
9,4207,1.334,126.895,
10,4734,0.844,124.345,
11,5259,2.987,126.905,
12,5784,1.579,126.415,
13,6311,4.302,124.242,
14,6836,3.379,128.190,
15,7362,3.401,124.705,
16,7888,1.193,125.703,
17,8415,5.174,124.090,
18,8941,0.943,126.161,
19,9466,0.422,126.703,
20,9992,3.912,125.983,
21,10518,0.000,128.027,
22,11043,1.523,179.059,
23,11569,0.943,196.582,
24,12095,3.213,194.485,
25,12621,0.422,199.909,
26,13145,3.017,198.312,
27,13671,0.422,116.990,
28,14197,3.509,93.950,
29,14721,3.802,89.431,
30,15246,3.406,85.876,
31,15771,0.422,85.393,
32,16297,0.732,88.746,
muestra,t,M 5A,DUT 30A,
2,529,1.195,84.671,
3,1054,0.597,95.924,
4,1581,0.422,121.319,
5,2108,0.000,125.095,
6,2632,0.845,126.449,
7,3159,1.033,124.731,
8,3683,0.422,124.710,
9,4208,3.534,124.038,
10,4735,3.129,124.577,
11,5259,0.732,125.480,
12,5783,0.945,128.064,
13,6309,3.375,125.907,
14,6835,1.336,127.864,
15,7359,0.845,127.082,
16,7885,0.844,125.576,
17,8411,0.597,131.797,
18,8935,0.000,125.403,
19,9460,3.534,126.551,
20,9985,0.000,127.688,
21,10509,0.422,127.209,
22,11034,0.000,177.889,
23,11560,1.266,200.024,
24,12086,0.732,200.807,
25,12610,1.336,197.939,
26,13138,2.566,202.000,
27,13665,1.193,112.295,
28,14189,0.000,93.984,
29,14715,0.422,87.395,
30,15241,2.275,83.794,
31,15766,1.461,86.028,
32,16292,1.399,85.355,
muestra,t,M 5A,DUT 30A,
2,531,1.193,85.130,
3,1055,0.000,92.225,
4,1580,1.267,103.793,
5,2105,2.983,126.845,
6,2632,3.867,123.336,
7,3157,3.825,126.195,
8,3682,0.000,125.601,
9,4209,3.935,127.173,
10,4734,3.432,129.536,
11,5259,0.422,126.085,
12,5785,4.490,129.113,
13,6310,3.825,127.964,
14,6833,0.597,131.994,
15,7359,0.597,130.105,
16,7883,0.000,126.474,
17,8408,1.035,125.991,
18,8934,3.504,128.451,
19,9460,2.701,127.801,
20,9985,1.118,130.524,
21,10510,1.579,127.223,
22,11036,0.422,153.210,
23,11561,0.597,202.812,
24,12087,2.983,207.044,
25,12612,0.845,198.781,
26,13138,3.401,199.044,
27,13664,1.116,156.493,
28,14189,1.118,94.699,
29,14715,0.000,93.179,
30,15241,3.844,88.850,
31,15766,1.742,88.056,
32,16291,0.000,85.238,
33,16816,1.334,87.871,
muestra,t,M 5A,DUT 30A,
2,531,0.597,87.653,
3,1057,0.597,89.460,
4,1582,0.422,128.415,
5,2107,0.422,127.285,
6,2632,0.000,128.127,
7,3159,0.597,129.594,
8,3684,5.087,126.093,
9,4208,2.738,127.360,
10,4735,0.943,128.127,
11,5260,2.834,125.224,
12,5784,3.432,133.203,
13,6311,3.401,129.445,
14,6835,3.406,132.575,
15,7361,1.266,131.629,
16,7887,3.479,129.495,
17,8413,0.422,128.089,
18,8937,1.267,130.351,
19,9463,0.943,130.308,
20,9988,4.007,126.981,
21,10514,0.422,129.791,
22,11043,0.844,137.440,
23,11568,1.035,188.139,
24,12093,5.087,198.652,
25,12619,5.906,200.440,
26,13144,0.422,207.215,
27,13669,3.406,184.240,
28,14194,3.797,97.744,
29,14721,2.232,90.174,
30,15245,1.267,91.736,
31,15771,2.983,87.065,
32,16298,3.980,87.175,
33,16823,0.000,85.692,
muestra,t,M 5A,DUT 30A,
2,530,3.479,85.543,
3,1055,0.422,94.902,
4,1579,0.422,129.858,
5,2105,1.739,127.851,
6,2630,3.458,129.387,
7,3156,1.739,127.751,
8,3680,3.379,128.440,
9,4207,0.844,126.769,
10,4734,1.463,126.144,
11,5258,0.000,123.753,
12,5785,0.943,129.396,
13,6309,0.845,131.504,
14,6834,0.422,129.188,
15,7359,4.323,128.152,
16,7885,0.732,128.340,
17,8409,3.217,129.882,
18,8935,0.422,130.873,
19,9460,4.245,128.415,
20,9986,3.844,125.423,
21,10512,2.983,132.406,
22,11037,0.422,128.115,
23,11562,3.802,178.502,
24,12086,4.390,181.571,
25,12613,1.688,184.510,
26,13138,1.035,187.900,
27,13662,3.017,182.770,
28,14189,0.000,183.797,
29,14714,3.379,183.559,
30,15240,0.945,92.190,
31,15766,0.844,92.766,
32,16292,0.945,88.565,
33,16816,1.401,86.175,
34,17342,2.272,83.649,
35,17867,2.069,85.426,
muestra,t,M 5A,DUT 30A,
2,531,0.422,85.991,
3,1055,2.570,96.912,
4,1581,3.890,128.426,
5,2107,1.267,127.688,
6,2631,0.597,127.612,
7,3156,3.895,120.917,
8,3682,5.115,124.808,
9,4208,0.000,123.803,
10,4733,3.104,124.168,
11,5259,0.000,127.349,
12,5785,0.943,130.358,
13,6310,0.422,129.138,
14,6837,0.597,126.364,
15,7361,1.267,124.297,
16,7888,1.889,122.186,
17,8414,3.504,128.750,
18,8939,0.597,123.103,
19,9465,4.622,123.232,
20,9991,0.000,129.173,
21,10516,3.104,128.315,
22,11041,3.917,126.677,
23,11567,0.844,173.632,
24,12093,0.422,197.696,
25,12617,0.000,196.212,
26,13143,4.847,198.076,
27,13669,0.422,198.037,
28,14193,0.000,128.415,
29,14719,2.566,91.689,
30,15244,0.422,88.528,
31,15770,2.566,89.209,
32,16295,3.406,87.249,
33,16821,0.422,87.725,
muestra,t,M 5A,DUT 30A,
2,531,2.531,87.615,
3,1059,0.422,93.420,
4,1585,0.844,117.755,
5,2110,0.945,127.612,
6,2636,1.790,125.167,
7,3162,3.213,133.082,
8,3687,4.853,128.690,
9,4212,3.017,130.794,
10,4736,0.000,129.213,
11,5263,1.790,125.499,
12,5788,0.422,130.253,
13,6312,0.945,128.365,
14,6838,4.792,128.825,
15,7363,2.896,128.240,
16,7889,0.422,128.227,
17,8415,4.112,125.423,
18,8940,0.732,126.779,
19,9466,0.000,125.039,
20,9992,3.427,124.474,
21,10517,0.000,124.426,
22,11043,0.422,126.845,
23,11569,0.597,158.588,
24,12097,3.406,199.925,
25,12622,1.581,200.583,
26,13148,2.983,203.564,
27,13673,2.570,195.539,
28,14199,0.597,168.139,
29,14725,0.422,94.001,
30,15250,5.122,92.294,
31,15776,3.100,89.925,
32,16300,0.597,84.861,
33,16827,2.151,87.138,
34,17352,0.845,85.914,
muestra,t,M 5A,DUT 30A,
2,529,3.584,83.756,
3,1054,4.308,90.111,
4,1578,1.336,124.090,
5,2105,1.334,127.022,
6,2630,0.422,126.652,
7,3154,0.000,127.007,
8,3680,0.000,123.984,
